FID,Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759
1,2020/03/26 21:59:59+00,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,4,11,9,0,0,0,0,1,2,3,0,0,0,1,1,1,0,9,0,3,2,2,0,0,0,1,5,2,8,3,6,8,4,2,2,3,2,3,1,2,5,4,5
2,2020/03/27 21:59:59+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,6,0,0,0,1,0,9,7,12,8,1,0,1,0,1,3,3,0,0,0,2,1,3,0,11,0,3,2,3,0,2,5,3,9,0,3,6,10,4,3,2,2,4,2,3,2,2,8,4,5
3,2020/03/28 21:59:59+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,0,8,0,0,0,1,0,8,8,12,8,2,0,1,0,1,3,3,0,0,0,2,2,3,0,13,0,3,2,3,0,2,5,3,10,0,4,5,11,5,7,2,3,4,2,3,2,2,8,5,6
4,2020/03/29 21:59:59+00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,11,2,0,1,0,1,3,3,0,0,0,3,2,3,0,13,0,4,2,3,0,2,7,3,11,0,5,5,14,5,7,2,3,5,3,4,2,2,8,5,6
5,2020/03/30 21:59:59+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,9,0,0,1,1,0,9,8,14,13,3,0,2,0,1,3,3,0,0,0,2,2,2,0,14,0,4,2,3,0,2,7,4,10,0,5,6,14,6,7,2,3,5,3,4,1,2,7,5,6
6,2020/03/31 21:59:59+00,,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,2,0,13,0,0,0,1,0,12,9,15,13,10,0,1,0,1,3,4,1,1,0,3,2,3,0,16,0,4,2,3,0,2,8,4,11,0,8,6,15,7,11,3,3,5,4,4,2,2,10,6,6
7,2020/04/01 21:59:59+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,0,12,0,0,0,1,0,13,10,16,17,31,0,0,2,1,3,5,2,1,0,3,2,3,1,16,0,4,4,4,0,2,8,4,13,0,10,7,18,7,18,3,3,7,4,5,2,2,10,10,7
8,2020/04/02 21:59:59+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,4,0,15,0,1,0,1,0,13,12,18,20,40,0,3,0,2,3,5,2,2,1,4,2,4,1,17,1,4,4,4,0,2,9,5,13,0,10,10,19,7,20,3,4,7,6,6,2,2,10,14,7
9,2020/04/03 21:59:59+00,,0,0,1,0,2,0,0,4,1,1,0,0,0,1,1,0,0,0,1,9,0,20,0,2,0,1,0,15,11,21,25,43,0,4,0,2,3,7,4,3,1,4,2,3,1,19,3,4,5,5,1,3,9,5,19,0,20,11,22,11,25,6,6,10,6,7,3,2,10,16,9
10,2020/04/04 21:59:59+00,,0,1,2,1,5,0,0,21,1,2,1,0,2,3,1,0,0,3,1,16,0,54,0,4,0,4,0,41,14,36,55,55,0,5,1,7,5,15,20,9,4,9,15,6,2,22,6,8,11,6,2,6,14,7,67,1,63,25,35,27,74,11,10,15,43,27,4,4,18,44,17
11,2020/04/05 21:59:59+00,,0,0,1,0,2,0,0,7,1,1,0,0,0,1,1,0,0,0,1,8,0,23,0,3,0,1,0,12,13,23,27,50,0,4,0,2,4,8,5,3,1,4,2,4,1,18,4,5,5,6,1,2,11,5,21,0,24,13,29,13,26,6,6,11,7,13,3,2,11,20,11
12,2020/04/06 21:59:59+00,,0,0,1,0,2,0,0,8,1,1,0,0,1,2,1,0,0,0,1,9,0,25,0,3,0,1,0,13,13,23,27,51,0,4,0,2,4,8,5,4,1,4,2,4,1,19,4,5,5,7,1,2,11,5,24,0,24,15,28,15,27,6,6,11,8,14,3,2,12,18,10
13,2020/04/07 21:59:59+00,,0,0,1,0,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,9,0,30,0,3,0,1,0,13,13,23,31,55,0,4,0,3,4,7,5,5,1,4,5,4,1,20,5,5,6,7,1,4,11,6,27,0,28,21,28,15,32,7,6,12,8,14,3,2,13,22,12
14,2020/04/08 21:59:59+00,,0,0,1,1,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,11,0,31,0,3,0,3,0,14,13,23,34,55,0,4,0,3,4,7,8,6,1,4,7,4,1,20,5,8,6,6,1,4,11,6,32,0,33,22,33,17,34,7,6,12,9,15,3,2,14,24,12
15,2020/04/09 21:59:59+00,,0,0,1,1,5,0,0,13,0,1,0,0,0,0,1,0,0,0,1,11,0,37,0,4,0,0,0,15,13,30,38,55,0,4,0,4,4,7,12,6,1,5,8,4,1,20,6,8,7,6,1,4,12,6,34,0,37,24,33,19,39,7,7,12,9,16,3,2,14,22,12
16,2020/04/10 21:59:59+00,,0,0,1,1,4,0,0,15,1,1,0,0,0,0,0,0,0,0,0,13,0,36,0,4,0,0,0,19,12,30,41,54,0,4,0,4,4,10,15,6,1,5,8,4,1,21,6,8,8,6,1,4,12,7,45,0,40,22,34,20,43,7,7,14,9,20,3,2,15,27,15
17,2020/04/11 21:59:59+00,,0,0,1,1,1,0,0,17,1,1,0,0,0,0,1,1,0,0,0,0,0,0,13,39,4,1,0,22,12,33,43,54,0,3,0,5,4,11,18,7,2,8,10,2,1,21,6,8,7,5,1,4,13,7,47,0,45,23,34,21,49,8,6,15,13,21,3,2,16,32,14
18,2020/04/12 21:59:59+00,,0,0,1,1,1,0,0,17,1,1,0,0,0,0,1,1,0,2,0,13,0,41,0,4,0,3,0,19,13,33,43,55,0,3,0,5,4,12,18,7,2,8,10,2,1,21,6,8,8,5,2,4,13,7,49,0,44,25,34,21,58,8,6,16,14,22,3,2,16,31,15
19,2020/04/13 21:59:59+00,,0,1,1,1,4,0,0,19,1,1,1,0,2,2,1,1,0,3,1,14,0,43,0,4,0,4,0,34,12,35,48,55,0,5,0,6,5,12,20,8,2,8,14,4,1,22,6,8,11,6,2,5,14,7,57,0,51,23,34,24,71,11,8,16,16,23,3,3,18,37,16
20,2020/04/14 21:59:59+00,,0,0,1,2,1,4,20,1,1,2,1,0,2,3,1,0,0,3,1,15,0,48,0,4,0,4,0,33,13,35,50,55,5,1,6,5,14,20,9,2,8,14,5,1,22,6,8,11,6,2,0,6,14,7,63,1,55,24,35,26,71,11,9,16,25,26,3,4,18,38,16
21,2020/04/15 21:59:59+00,,0,1,2,1,5,0,0,21,1,2,1,0,2,3,1,0,0,3,1,16,0,54,0,4,0,4,0,41,14,36,55,55,0,5,1,7,5,15,20,9,4,9,15,6,2,22,6,8,11,6,2,6,14,7,67,1,63,25,35,27,74,11,10,15,43,27,4,4,18,44,17
22,2020/04/16 21:59:59+00,,0,1,3,1,4,0,0,25,1,2,1,0,2,3,1,0,0,3,1,16,0,57,0,4,0,4,0,40,17,36,55,56,0,5,0,7,6,17,22,10,4,9,15,6,2,22,6,9,12,6,3,6,14,7,71,1,71,29,36,29,80,12,10,16,43,28,4,4,18,47,17
23,2020/04/17 21:59:59+00,,0,1,3,2,5,0,0,26,1,4,2,0,2,4,1,0,0,3,1,19,0,61,0,4,0,4,0,42,16,36,60,55,0,5,1,7,6,18,25,12,4,9,16,6,2,22,7,9,12,6,4,6,14,7,77,2,71,29,37,32,83,14,10,16,47,30,4,4,18,51,17
24,2020/04/18 21:59:59+00,,0,0,4,1,5,0,1,24,1,6,2,0,2,4,1,0,0,3,1,19,0,54,0,6,0,4,0,73,18,35,55,54,0,4,1,7,6,18,21,11,5,10,15,6,2,26,8,9,10,6,4,5,13,7,77,1,68,29,38,29,81,13,9,15,42,31,5,4,22,52,16
25,2020/04/19 21:59:59+00,,0,1,3,2,5,0,1,26,1,6,2,0,2,5,1,0,0,3,1,22,0,67,0,4,0,4,0,40,18,36,59,55,0,5,1,7,6,20,27,12,4,9,16,6,3,24,7,9,12,6,4,6,14,7,81,2,69,29,37,32,86,14,10,16,46,31,5,4,21,56,17
26,2020/04/20 21:59:59+00,,0,1,3,2,4,0,1,29,1,7,2,0,2,6,1,0,0,3,1,23,0,68,0,4,0,4,0,33,18,34,62,55,0,5,1,9,6,26,29,13,4,9,16,6,3,24,7,9,12,7,4,5,14,9,89,2,73,29,37,32,88,18,10,16,46,36,8,4,24,61,17
27,2020/04/21 21:59:59+00,,0,0,3,2,4,0,2,31,1,9,0,0,2,6,1,0,0,3,1,23,0,74,0,4,0,4,0,33,19,36,62,55,0,5,1,12,6,27,31,14,5,9,18,7,4,24,7,10,12,7,4,5,14,9,95,2,80,30,38,35,91,18,10,17,51,38,8,4,24,64,17
28,2020/04/22 21:59:59+00,,0,1,3,1,4,0,1,31,1,9,3,0,3,6,1,0,0,3,1,23,0,74,0,4,0,4,0,33,19,36,65,55,0,5,1,12,6,28,34,15,5,9,17,6,4,24,7,10,12,7,4,5,14,9,104,2,81,33,38,36,92,18,10,18,52,41,9,5,24,67,17
29,2020/04/23 21:59:59+00,,0,0,3,1,2,0,0,29,0,8,0,0,1,0,1,0,0,3,0,23,0,77,0,5,0,2,0,34,21,36,65,57,0,3,0,13,6,29,36,15,5,9,17,3,4,24,7,10,11,6,4,4,14,9,109,2,87,34,39,36,103,18,10,18,55,46,9,5,24,72,16
30,2020/04/24 21:59:59+00,,0,0,3,1,2,0,1,28,1,8,2,0,1,1,2,0,0,3,0,23,0,80,0,5,0,3,0,33,22,38,69,57,0,3,0,14,6,30,41,16,6,10,18,3,4,27,7,10,11,8,4,4,14,9,120,2,90,36,41,37,115,18,10,18,56,52,9,5,24,75,16
31,2020/04/25 21:59:59+00,,0,0,3,1,2,0,1,28,1,10,1,0,1,1,2,0,0,3,0,23,0,80,0,5,0,3,0,34,22,38,68,58,0,3,0,14,6,32,41,16,6,11,18,3,4,27,7,10,11,8,4,4,15,9,122,2,90,36,40,37,115,18,10,18,57,52,9,5,24,78,17
32,2020/04/26 21:59:59+00,,0,0,3,1,2,0,1,28,1,9,1,0,1,1,3,0,0,3,0,28,0,80,0,5,0,3,0,34,22,37,68,58,0,3,0,14,6,32,42,19,6,12,20,3,4,28,7,10,11,10,4,4,15,9,125,2,94,36,40,39,115,18,9,17,56,53,9,5,24,79,17
33,2020/04/27 21:59:59+00,,0,0,3,1,2,0,1,29,1,10,0,0,1,1,3,0,0,3,0,31,0,85,0,5,0,3,0,37,25,39,69,58,0,3,0,14,6,33,48,20,6,12,19,3,4,29,8,10,11,9,4,4,15,10,133,2,103,36,41,41,124,18,10,17,58,57,9,5,25,81,17
34,2020/04/28 21:59:59+00,,0,0,3,1,2,0,1,30,1,10,0,0,1,1,4,0,0,3,0,31,0,88,0,5,0,3,0,37,26,39,69,59,0,4,0,18,6,35,50,21,6,12,20,4,4,30,8,11,11,9,4,4,15,10,136,3,110,39,41,43,126,18,10,17,58,71,11,5,25,85,17
35,2020/04/29 21:59:59+00,,0,0,3,1,2,0,1,31,1,12,0,0,1,1,4,0,0,3,0,36,0,88,0,7,0,4,0,37,26,38,71,59,0,4,0,22,6,40,54,22,6,14,23,4,4,31,9,11,11,10,4,4,15,10,144,3,114,41,41,46,130,19,9,16,62,75,12,5,24,86,19
36,2020/04/30 21:59:59+00,,0,0,3,1,2,0,1,31,1,13,0,0,1,1,4,0,0,3,0,35,0,95,0,7,0,5,0,37,28,42,72,59,0,4,0,23,6,42,56,23,6,15,22,4,4,35,8,11,11,9,4,5,15,10,144,4,115,41,42,49,133,19,11,17,64,78,15,5,25,88,19
37,2020/05/01 21:59:59+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,4,0,0,3,0,37,0,95,0,7,0,5,0,37,27,39,72,60,0,4,0,24,6,45,57,25,6,15,24,4,4,35,9,11,11,10,4,5,15,10,150,4,118,43,42,48,135,18,10,17,63,79,17,5,24,99,18
38,2020/05/02 21:59:59+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,6,0,0,3,0,37,0,96,0,8,0,5,0,37,27,39,74,60,0,6,1,25,6,45,59,25,7,15,24,4,4,35,9,11,11,11,4,5,15,10,167,4,123,44,42,48,136,18,10,17,63,81,17,5,24,99,18
39,2020/05/03 21:59:59+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,6,0,0,3,0,37,0,99,0,8,0,5,0,37,28,40,75,60,0,6,1,26,6,47,62,27,7,15,24,4,5,35,8,11,11,11,4,5,15,10,171,4,127,48,42,49,139,18,10,17,64,84,18,5,25,101,18
40,2020/05/04 21:59:59+00,,0,0,3,1,2,0,1,34,1,14,0,0,1,1,6,0,0,4,1,39,0,99,0,8,0,5,0,38,28,40,76,60,0,7,1,29,6,47,64,28,7,15,27,4,5,35,8,11,12,11,4,5,15,10,183,4,132,49,44,49,140,18,10,17,67,92,18,5,25,108,18
41,2020/05/05 21:59:59+00,,0,0,3,1,2,0,1,37,1,15,0,0,1,1,6,0,0,4,1,40,0,105,0,8,0,5,0,39,29,41,79,60,0,7,1,30,6,49,66,29,7,16,27,4,5,36,8,11,14,11,4,5,16,10,189,4,136,52,44,50,143,18,11,17,68,99,20,5,26,109,18
42,2020/05/06 21:59:59+00,,0,0,3,1,5,0,0,38,1,16,0,0,1,1,6,0,0,4,1,42,0,108,0,8,0,5,0,38,29,42,80,60,0,7,1,30,6,52,72,31,7,17,28,4,4,35,8,11,14,10,4,5,17,10,197,4,139,54,54,50,144,18,13,19,71,105,23,5,27,115,18
43,2020/05/07 21:59:59+00,,0,0,3,1,5,0,0,38,1,19,0,0,1,1,6,0,0,4,1,43,0,111,0,8,0,5,0,38,29,43,82,60,0,6,1,30,6,55,73,32,7,17,29,4,4,35,8,11,14,11,4,5,18,10,202,4,152,57,53,50,154,19,13,16,74,109,24,5,27,119,19
44,2020/05/08 21:59:59+00,,0,0,3,2,5,0,0,40,1,19,0,0,1,1,6,0,0,4,1,46,1,117,0,8,0,5,0,38,29,42,89,60,0,6,1,30,6,58,79,33,7,18,28,4,4,36,8,11,14,12,4,5,18,10,207,4,158,59,53,52,159,19,13,16,75,115,25,5,27,123,19
45,2020/05/09 21:59:59+00,,0,0,3,2,5,0,0,42,1,19,0,0,1,1,6,0,0,6,1,46,1,116,0,9,0,5,0,38,31,43,88,60,0,6,1,31,6,61,83,34,7,20,28,4,4,35,8,11,14,12,4,5,18,10,211,4,157,59,53,51,159,20,12,17,76,120,27,5,28,124,19
46,2020/05/10 21:59:59+00,,0,0,3,2,5,0,0,42,1,19,0,0,2,1,7,0,0,7,1,47,1,122,0,9,0,5,0,38,31,43,89,60,0,6,1,31,6,60,83,34,8,20,29,4,4,34,8,11,15,12,4,5,18,10,213,4,161,60,53,53,160,21,13,17,77,122,27,5,29,127,19
47,2020/05/11 21:59:59+00,,0,0,3,2,5,0,0,43,1,19,0,0,2,1,7,0,0,9,1,48,1,126,0,9,0,5,0,37,31,43,90,60,0,7,1,30,6,60,86,36,8,20,32,5,4,34,8,12,15,14,8,5,21,10,216,4,167,64,54,55,160,21,13,16,77,126,28,5,30,132,19
48,2020/05/12 21:59:59+00,,0,0,2,2,4,0,0,45,1,20,0,0,2,0,7,0,0,9,1,49,1,130,0,9,0,5,0,37,31,43,95,60,0,8,1,32,6,61,91,36,8,21,35,6,4,34,8,12,16,14,12,6,21,10,216,4,171,67,54,57,160,22,13,16,78,130,29,5,30,134,21
49,2020/05/13 21:59:59+00,,0,0,3,1,4,0,0,48,1,19,0,0,2,0,7,0,0,9,1,51,1,131,0,8,0,5,0,37,32,43,97,60,0,7,1,32,6,62,91,38,9,22,35,6,4,34,8,12,16,15,18,5,21,10,220,5,174,67,55,57,163,30,14,16,80,134,30,6,30,140,21
50,2020/05/14 21:59:59+00,,0,0,3,1,4,0,0,51,1,19,0,0,2,0,7,0,0,9,1,52,1,138,0,8,0,5,0,37,31,43,98,60,0,6,1,32,6,62,92,39,9,22,36,5,4,34,8,12,16,19,18,5,21,10,231,5,182,74,55,60,162,30,14,16,85,141,32,6,29,141,22
51,2020/10/12 21:59:59+00,,1,0,75,23,79,13,5,1031,8,209,1,1,6,10,77,0,3,124,114,917,3,2358,0,73,7,91,32,294,710,334,996,834,14,84,76,366,183,844,1253,534,169,381,470,147,70,309,159,108,314,332,142,91,246,146,1920,44,2233,1284,406,679,1099,429,302,210,671,2024,813,103,376,1688,520
52,2020/10/13 21:59:59+00,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2020/10/14 21:59:59+00,,0,0,75,23,80,13,5,1040,8,211,1,1,6,10,78,0,3,125,115,921,3,2389,0,73,7,92,32,297,718,335,1004,821,12,86,78,369,182,851,1259,536,170,383,473,150,70,310,164,108,315,334,143,92,247,146,1926,44,2246,1299,411,684,1111,434,307,207,671,2033,821,104,379,1698,521
54,2020/10/15 21:59:59+00,,0,0,75,23,80,13,5,1039,8,210,1,1,7,10,77,0,3,125,115,923,3,2394,0,72,7,92,32,297,718,351,1006,823,12,86,78,369,182,853,1261,536,172,385,475,151,70,311,165,108,316,335,143,92,248,150,1935,44,2252,1303,413,685,1114,435,307,208,672,2037,823,105,379,1703,522
55,2020/10/16 21:59:59+00,,0,0,75,23,80,13,5,1041,8,211,1,1,7,10,78,0,3,125,115,934,3,2405,0,74,8,92,32,300,720,351,1012,831,13,86,78,369,182,854,1263,536,173,385,478,152,71,312,168,108,321,336,143,93,249,151,1940,44,2256,1303,414,685,1117,440,307,210,674,2045,823,106,379,1712,524
56,2020/10/17 21:59:59+00,,0,0,76,23,85,13,5,1048,9,212,1,1,7,10,78,0,3,126,116,940,3,2426,0,74,7,94,32,333,721,355,1019,838,13,86,78,369,182,858,1267,536,174,389,481,152,72,316,172,109,324,337,143,94,252,154,1946,44,2265,1310,419,687,1124,442,311,214,678,2055,826,109,381,1722,527
57,2020/10/18 21:59:59+00,,0,0,75,23,84,13,5,1046,9,211,1,1,7,10,78,0,3,128,115,938,3,2432,0,74,7,93,32,301,722,354,1015,838,13,86,78,369,182,859,1266,536,173,391,484,152,72,316,172,109,322,337,143,93,252,153,1946,44,2263,1306,419,686,1122,441,311,214,675,2054,825,109,381,1715,528
58,2020/10/19 21:59:59+00,,0,0,75,23,85,13,5,1049,9,211,1,1,7,10,78,0,3,129,115,938,3,2446,0,74,7,93,32,301,724,354,1019,856,13,87,78,371,182,860,1266,537,174,393,485,154,73,319,173,109,321,338,143,94,257,154,1951,44,2269,1314,419,688,1123,442,311,215,675,2055,827,107,382,1720,528
59,2020/10/20 21:59:59+00,,0,0,75,23,86,13,5,1051,9,211,1,1,7,10,78,0,3,129,117,939,3,2458,0,74,7,94,33,301,726,354,1022,863,13,88,78,372,183,862,1273,537,175,396,489,155,73,322,174,109,322,338,144,94,258,154,1957,44,2273,1317,422,691,1130,443,312,219,679,2063,829,108,384,1724,529
60,2020/10/21 21:59:59+00,,0,0,75,23,87,13,5,1054,9,211,1,1,7,10,78,0,3,130,118,939,3,2461,0,74,7,96,33,301,726,355,1022,869,13,87,78,372,183,862,1277,537,174,397,492,156,73,322,174,109,324,339,145,95,261,155,1959,44,2278,1321,422,693,1130,446,314,221,680,2068,830,108,386,1727,529
61,2020/10/22 21:59:59+00,,0,0,75,23,88,13,5,1062,9,212,1,1,7,10,78,0,3,130,118,940,3,2471,0,74,7,96,31,301,727,356,1024,869,13,87,78,372,183,864,1278,536,175,400,495,156,76,323,175,109,327,340,145,96,261,156,1963,44,2284,1324,424,694,1141,446,318,221,686,2075,832,109,389,1729,531
62,2020/10/23 21:59:59+00,,0,0,75,24,87,13,5,1064,9,212,1,1,7,10,78,0,3,131,118,945,3,2480,0,75,7,96,31,302,728,358,1027,873,13,89,78,373,183,868,1279,537,177,400,498,157,78,321,175,111,327,339,146,95,263,156,1968,44,2294,1326,425,698,1142,449,318,221,689,2080,833,110,390,1734,532
63,2020/10/24 21:59:59+00,,0,0,75,24,87,13,5,1065,9,213,1,1,7,10,78,0,3,132,118,953,3,2491,0,75,7,96,31,302,729,358,1034,873,13,89,78,373,184,873,1281,537,179,400,500,157,78,322,175,111,327,339,147,95,263,156,1975,44,2296,1331,425,699,1144,450,318,222,693,2083,835,112,390,1742,532
64,2020/10/25 21:59:59+00,,0,0,75,24,87,13,5,1069,9,213,1,1,7,10,78,0,3,132,118,957,3,2491,0,75,7,96,31,302,732,361,1036,882,14,88,78,373,183,872,1285,537,179,400,500,157,78,323,176,111,329,339,146,96,263,156,1977,44,2298,1332,426,699,1142,450,318,223,697,2084,835,112,393,1740,534
65,2020/10/26 21:59:59+00,,0,0,75,24,87,13,5,1072,9,213,1,1,7,10,78,0,3,133,118,960,4,2498,0,75,7,96,31,302,736,366,1036,900,14,89,79,373,185,873,1288,540,179,400,505,157,79,325,178,111,331,340,146,97,265,157,1981,44,2300,1332,428,707,1143,453,318,224,699,2087,838,113,395,1746,536
66,2020/10/27 21:59:59+00,,0,0,75,24,89,13,5,1080,9,213,1,1,8,10,78,0,3,133,118,963,4,2509,0,75,7,96,31,302,740,368,1037,901,14,92,79,373,185,879,1292,540,179,400,509,160,80,332,179,111,332,342,149,98,265,157,1984,44,2305,1338,431,708,1152,455,320,225,700,2088,842,113,397,1750,541
67,2020/10/28 21:59:59+00,,0,0,75,24,89,13,5,1087,9,214,1,1,8,11,79,,3,133,117,967,4,2515,,75,7,96,31,305,742,368,1039,903,14,92,79,374,185,880,1294,543,181,406,510,160,81,332,180,111,332,344,149,98,270,157,1988,44,2308,1340,431,711,1152,455,323,225,704,2092,844,112,397,1751,542
68,2020/10/29 21:59:59+00,,0,0,75,24,89,13,5,1087,9,216,1,1,8,11,79,0,3,133,118,976,4,2525,0,76,7,96,31,305,745,369,1041,906,14,94,79,374,185,880,1295,543,181,406,513,160,81,334,182,111,331,345,149,99,274,157,1991,44,2315,1342,433,715,1156,458,324,225,705,2092,848,112,402,1753,547
69,2020/10/30 21:59:59+00,,0,0,75,24,89,13,5,1088,9,216,1,1,8,11,79,,3,134,118,978,4,2530,,76,7,97,31,308,745,370,1047,908,14,95,79,376,185,882,1298,543,182,409,514,159,81,338,183,113,333,346,150,99,276,157,1995,44,2319,1347,439,715,1160,458,327,225,706,2095,849,113,404,1756,548
70,2020/10/31 21:59:59+00,,0,0,72,24,86,12,5,1065,9,217,1,1,8,11,79,,3,134,113,971,4,2471,,73,6,95,29,281,703,350,958,818,13,85,78,362,180,818,1249,539,164,394,473,148,77,325,181,113,329,320,139,98,271,158,1784,43,2225,1260,434,682,1114,449,324,211,643,1910,778,109,370,1591,518
71,2020/11/01 21:59:59+00,,0,0,75,24,89,13,5,1089,9,217,1,1,8,11,79,,3,139,119,981,4,2550,,76,7,97,31,308,752,370,1057,918,15,94,79,377,185,888,1299,545,183,415,518,159,81,340,185,114,334,351,149,99,276,160,2003,44,2331,1360,446,718,1167,463,332,226,710,2104,850,116,406,1763,552
72,2020/11/02 21:59:59+00,,0,0,75,24,89,13,5,1090,9,217,1,1,8,11,79,,3,139,120,985,4,2565,,76,7,97,31,309,755,372,1063,922,15,94,79,377,187,889,1299,545,186,419,520,159,81,343,185,115,336,351,152,99,279,162,2005,44,2334,1361,446,720,1168,463,335,227,712,2106,852,116,406,1768,554
73,2020/11/03 21:59:59+00,,0,0,75,24,89,13,5,1094,9,217,1,1,8,11,79,0,3,139,121,987,4,2577,0,76,8,99,31,312,758,372,1073,923,15,95,81,380,187,897,1305,546,188,423,523,161,82,344,187,117,336,353,154,99,281,165,2010,44,2346,1369,448,721,1176,464,335,227,716,2112,856,116,413,1771,557
74,2020/11/04 21:59:59+00,,0,0,75,24,90,13,5,1096,9,217,2,1,8,11,79,0,3,139,123,991,4,2592,0,78,8,100,31,314,762,373,1079,931,15,95,82,382,188,904,1309,549,190,425,531,161,82,345,188,118,337,356,154,99,283,166,2012,44,2358,1377,448,723,1186,465,339,229,720,2118,857,117,414,1776,558
75,2020/11/05 21:59:59+00,,0,0,76,24,89,13,5,1097,9,220,2,1,8,11,79,0,3,139,124,992,4,2605,0,78,8,101,31,316,765,375,1086,935,15,95,81,386,190,910,1314,549,191,427,535,161,84,346,191,120,338,353,160,100,288,168,2018,44,2369,1381,452,728,1194,468,340,229,720,2124,861,119,417,1780,562
76,2020/11/06 21:59:59+00,,0,0,76,24,89,13,5,1099,9,220,2,1,8,13,80,0,3,140,124,994,5,2620,0,78,8,107,31,317,777,378,1089,947,16,95,82,392,191,916,1321,552,191,430,535,162,85,346,194,122,339,354,161,100,290,169,2025,44,2375,1390,457,735,1200,470,341,232,723,2132,867,121,420,1784,565
77,2020/11/07 21:59:59+00,,0,0,76,24,89,13,5,1100,9,220,2,1,8,13,80,0,3,141,125,996,5,2631,0,78,8,106,31,318,780,379,1095,963,17,95,82,393,191,918,1319,552,193,430,535,162,85,348,195,123,339,359,156,101,291,169,2031,44,2377,1394,459,736,1202,475,342,233,724,2133,868,122,422,1786,567
78,2020/11/08 21:59:59+00,,0,0,76,24,89,13,5,1101,9,220,2,1,9,13,80,0,3,142,125,1001,6,2641,0,78,8,108,31,319,785,391,1103,968,17,94,82,394,192,919,1327,552,194,432,537,163,86,350,197,123,345,363,159,101,293,169,2036,44,2385,1402,462,742,1207,477,342,234,726,2137,871,124,424,1790,571
79,2020/11/09 21:59:59+00,,0,0,76,24,90,13,5,1107,10,222,2,1,9,13,80,0,3,142,126,1003,6,2660,0,78,8,110,31,321,798,395,1114,976,18,96,77,398,196,921,1337,554,197,433,541,164,86,349,198,122,345,363,161,103,293,170,2052,44,2388,1425,464,747,1219,480,345,241,732,2144,874,124,427,1797,575
80,2020/11/10 21:59:59+00,,0,0,76,24,93,13,5,1105,10,222,2,1,9,13,80,0,3,142,126,1013,6,2674,0,78,8,110,31,324,802,396,1123,980,17,96,82,397,196,928,1343,558,199,436,546,171,86,351,199,124,347,366,160,103,294,170,2064,44,2400,1435,469,752,1224,482,349,249,734,2151,874,126,429,1803,576
81,2020/11/11 21:59:59+00,,0,0,77,24,93,13,5,1111,10,222,2,1,9,12,81,0,3,145,127,1016,6,2710,0,78,8,110,31,324,806,401,1127,994,18,96,82,400,200,935,1349,560,202,442,550,171,89,357,200,126,350,367,160,103,297,171,2071,44,2405,1441,470,755,1233,483,350,256,737,2163,882,126,431,1810,579
82,2020/11/12 21:59:59+00,,0,0,78,24,93,13,5,1112,10,222,2,1,9,12,82,0,3,147,127,1023,6,2723,0,79,8,110,31,331,818,405,1141,997,18,96,82,403,202,939,1351,563,205,447,554,170,91,363,201,125,352,373,162,102,298,171,2082,44,2415,1448,472,756,1245,487,350,263,741,2169,886,126,433,1816,580
